symbol,company_name,bbd_qyxx_id
000411,浙江英特集团股份有限公司,d0156ba170974a4095f832440ce50774
000413,东旭光电科技股份有限公司,99a1e913ee334d50a235d7c11e7edffd
000415,渤海租赁股份有限公司,e4ba6358f0a54b968b62d6ec311ca147
000416,民生控股股份有限公司,b3fdb90be120470bb4f97f44b880d662
000417,合肥百货大楼集团股份有限公司,806ab1812d27468ab6c18eac74caa663
000419,长沙通程控股股份有限公司,242fb13a110f49f59d5ba514c2e7df8e
000420,吉林化纤股份有限公司,ee7630f6acf44b5692d5fa04f17646d0
000421,南京公用发展股份有限公司,a554bfb4a41f421984f6537849079cb2
000422,湖北宜化化工股份有限公司,99085af3b0244541b937912d6f00889c
000423,东阿阿胶股份有限公司,d128ae93071740cea8ac9c25c96480bb
000425,徐工集团工程机械股份有限公司,c6f195613b37443b90a6d9859f696156
000426,内蒙古兴业矿业股份有限公司,709a027902844c3cbcb714777c7032b0
000428,华天酒店集团股份有限公司,7f99f35e34004841bd1c3d9070a29398
000429,广东省高速公路发展股份有限公司,232e2d7195ae404fbdd0a42a0c37e7f8
000430,张家界旅游集团股份有限公司,5f65f86d714745f98c5c48f6471efd1b
000488,山东晨鸣纸业集团股份有限公司,8d2bad69f3dc42348cd21e3dc10b62ab
000498,山东高速路桥集团股份有限公司,00545aabc1d7428a99b3813e5d4a7522
000501,武汉武商集团股份有限公司,456e7a913edc4166b234748a099a93f3
000502,绿景控股股份有限公司,1fef18aceba1426d89888908dfb4c5c0
000503,国新健康保障服务集团股份有限公司,cbea51d85cd447488d2b3c9633708f0f
000504,南华生物医药股份有限公司,3a728823d4b74c9fbcb05152065ecbf2
000505,海南珠江控股股份有限公司,3357b96f9aed43f4b044d6fe3e1fe919
000506,中润资源投资股份有限公司,624b0924f085410e81f27365609a1703
000507,珠海港股份有限公司,d2ef31033aaf4911bf93941a840adb2f
000509,华塑控股股份有限公司,157e6f295a77450ea01e2f589c988d5c
000510,四川新金路集团股份有限公司,8a79bb53759b4695ab3ef57d4c26800f
000513,丽珠医药集团股份有限公司,1fbbdf829d1a4dbdaf8574d1feb12c78
000514,重庆渝开发股份有限公司,65dffcf442504f3892f1e02c4d35870b
000516,西安国际医学投资股份有限公司,747758c2848d4737a3aaed2a2033919e
000517,荣安地产股份有限公司,1fc1bc13dbe24ba4b3c4ecb4fe4461de
000518,江苏四环生物股份有限公司,6de50dc6801d4086858a12db4237ceaa
000519,中兵红箭股份有限公司,a2e2afa7c4004d1b8605be4d627536d7
000520,长航凤凰股份有限公司,1321d5840a4b4d65b8e1965625ce00a5
000521,长虹美菱股份有限公司,31b1b2bbc9644072b08598ea916e37e3
000523,广州市浪奇实业股份有限公司,99d878ccb2f84925b30c9b549ee92079
000524,广州岭南集团控股股份有限公司,6dd16054fbec42938a4fb28b54caa25b
000525,南京红太阳股份有限公司,9876b53d03284848be7fb80fb3cc7a8a
000526,厦门紫光学大股份有限公司,cb3ee652db584e80acd8647175f48e57
000528,广西柳工机械股份有限公司,6efcc364f5f14e66875e629d2e308295
000529,广东广弘控股股份有限公司,5f9c4d74ffbe4664b0ff47a9f525c1bf
000530,冰山冷热科技股份有限公司,dbd01e3b5fd2470c96f43cfd48e4154d
000531,广州恒运企业集团股份有限公司,c8092d23e0db4e7e988fe9a5466f5f9d
000532,珠海华金资本股份有限公司,60f1e438c80446c796627807349aae32
000533,广东万家乐股份有限公司,9fc9e2086f134a3a9f0e684ef51b34f3
000534,万泽实业股份有限公司,75b25697c64041e5b1faddd3de39e982
000536,华映科技（集团）股份有限公司,de93355cc4584dc4b157c8098cc3f13a
000537,天津广宇发展股份有限公司,4c857e654ccb408ca3fed87d741beb10
